system:index,PKey,nl_intensity,geometry
1092,1524.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1101,1527.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1129,1601.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1229,1628.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1266,1703.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1359,1727.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1438,1810.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1498,1833.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1526,1906.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1563,1921.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1580,1923.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1607,1927.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1624,1928.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1656,2001.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1707,202.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1738,2027.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1760,2029.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1784,205.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
181,109.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1875,2123.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1901,2124.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1979,2208.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
1995,221.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2029,2228.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2037,2228.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2073,227.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2112,2308.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2149,2323.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2182,2328.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2192,2329.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2195,233.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2196,233.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2266,2429.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2376,2529.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2382,2529.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
2461,2709.0,"{avg_rad=null, cf_cvg=null}","{""geodesic"":true,""type"":""Point"",""coordinates"":[0.0,0.0]}"
