,PKey,avg_rad,cf_cvg,centroid
0,101,0.7113414837004299,6.9737728435415205,[74.27270765 34.4099672 ]
1,102,2.069327906129404,3.81325845516722,[76.12323715 32.56392907]
2,102,2.733402992924313,4.49957483889556,[76.1367119 32.532488 ]
3,102,2.2091310658796464,4.584502161633814,[75.95704885 32.54596317]
4,102,10.942412021163372,3.267287252955295,[75.91662465 32.61333604]
5,103,4.518277930639775,9.354247636576591,[75.36865235 31.82281861]
6,103,5.591882639305938,7.855903623529381,[75.6740795  32.38426608]
7,103,3.7916995893751584,7.30320892957027,[75.62916375 32.2854562 ]
8,103,3.4900474571465203,7.792788147358095,[75.7189953  32.30341794]
9,103,5.878887333355144,9.327769620915028,[75.1979724  31.81832978]
10,103,2.050812906017448,6.742055962169812,[75.6246722  32.22706081]
11,103,5.0870892616095285,6.860168772135206,[75.584248   32.37079345]
12,103,3.44727581800955,8.76454628326353,[75.10814095 31.77790344]
13,103,2.6561687996125567,6.594142391031487,[74.95093575 31.87222667]
14,103,2.6610054252955635,9.104180577198157,[75.319245  31.9575663]
15,103,2.6584917850580077,8.469754573504417,[75.44500915 31.98451575]
16,103,5.3995784912529015,7.418070191202006,[75.46746705 32.13273777]
17,103,4.420309421978089,7.683936896641414,[75.40009335 32.0429089 ]
18,104,18.625075707693423,5.454242996947594,[76.7700242  30.73137197]
19,105,4.303964999655541,6.686577173122956,[78.20732865 30.81670604]
20,106,3.372310379469491,7.217607268749567,[76.9182462  30.63704282]
21,106,8.31651286950647,6.541056146987107,[76.877822   30.72685467]
22,106,5.147209872677633,6.681477255139766,[76.94070405 30.59212668]
23,106,7.324762867978199,4.808279557154723,[76.81044835 30.92001247]
24,106,3.8038947774503247,5.557088627450996,[76.94070405 30.56068598]
25,106,4.348813723337638,6.587447405963217,[76.92722935 30.83916417]
26,107,21.153559303416408,8.299190566064393,[77.07994295 28.77756744]
27,108,3.373348961203711,6.432360309097553,[73.4507492  29.84203416]
28,108,4.141958786234415,6.6622434145666025,[73.5091397  29.24465433]
29,108,3.290268215494101,7.764019054384168,[73.19922095 29.19075523]
30,108,5.827478726444607,8.348748712470902,[73.0734568  29.02456666]
31,108,3.4230143990346935,7.826389748148579,[73.62592065 29.70728649]
32,108,3.751715051388492,8.7832448,[74.17389305 29.91389898]
33,108,4.16533451787184,8.561757591546057,[73.44176605 29.53660636]
34,108,4.925571451447514,8.698556259305136,[72.8848106  28.84939536]
35,108,3.5840670862147026,9.408821124182968,[74.0032131  29.17728079]
36,108,4.248163176715951,8.665722268869326,[73.88643215 29.90940679]
37,108,5.046778986720329,9.97100654127896,[73.89541525 29.32101255]
